,0
1105,"Когда-то в этот прекрасный день на свет появилась ты и украсила эту планету. И вот уже который год ты продолжаешь делать этот мир ярче, красочнее и красивее. В твой день рождения, я хочу сделать все, чтобы весь мир был у твоих ног. Я хочу пожелать тебе оставаться всегда счастливой, веселой, жизнерадостной и беззаботной. Чтобы улыбка не сходила с твоего лица, а пасмурные тучи никогда не появились над твоей головой. С днем рождения!"
1106,"Поздравляю самого чудесного и лучшего мужчину. Ты любовь всей моей жизни. Я желаю тебе милый, чтобы здоровье твое было таким же крепким, как самый прочный алмаз. Я желаю, чтобы любые беды терпели перед тобой поражение, как враги у стен самого защищенного замка. Я хочу, чтобы все, о чем ты мечтаешь, обязательно в скором времени сбылось. Я тебя очень люблю. С днем рождения!"
1107,"Желаю в день рождения, чтобы сбылось то, о чем так долго мечталось, осуществились желания. Пусть жизнь будет яркой и счастливой!"
1108,"Дорогая моя тетушка! Желаю вечно оставаться такой же бодрой, энергичной и очаровательной. Желаю всегда удивлять своей харизмой, притягивать взгляды своей привлекательностью, кружить голову невероятной красотой и быть в центре внимания, очаровывая своей чистой и доброй душой. Желаю никогда не знать уныния и черной тоски, всегда улыбаться, ведь улыбка — это эликсир вечной молодости. С днем рождения, моя хорошая!"
1109,"Поздравляю вас с рождением ребенка! Пускай ваш малыш растет счастливым, здоровеньким и красивым! Желаю познать радость материнства и отцовства в полной мере, хоть это и огромный труд, но такой приятный и желанный! Будьте счастливы!"
1110,"Желаю, чтобы в жизни не было мрачных и скучных дней, чтобы ни одна тень не смогла скрыть твоей красоты. Поздравляю с днем рождения. Пусть никогда не будет поздно для достижения успеха, пусть на твоих часах всегда будет время счастья и любви."
1111,"От всего сердца поздравляю любимого братишку с днем рождения! Пусть тебя окружают люди, которые могут оценить твои прекрасные человеческие качества! Желаю здоровья, мешок удачи и счастья!"
1112,"С днем рождения, няшик мой. Желаю тебе побольше улыбашек и обнимашек, вкусняшек и веселяшек, крутяшек и огромных деньжищ. Желаю каждый день гулять с размахом и пусть в твоей жизни кругом будет лепота!"
1113,"Поздравляю с днём рождения, чудесная женщина. Желаю больших заслуг и достижений, великих дел и радостных событий, прекрасных чувств и нежности души. Пусть жизнь будет сладкой, словно мёд, пусть она дарит массу приятных впечатлений и счастливых эмоций."
1114,"Чудесного и замечательного мужчину поздравляю с днем рождения! Пусть всегда удается быть честным с самим собой, пусть никогда не будет недопонимания с близкими и ссор с друзьями. От души желаю стабильности и счастья в жизни, силы и уверенности в себе, верной удачи и отменного настроения в пути."
1115,"Пусть всегда будет возможность проявить себя героем и поступить благородно, пусть никогда не подводит здоровье и не теряется сила. С днем рождения. Желаю твёрдых позиций и решений, успешных дел и идей, светлых горизонтов и сторон жизни."
1116,"Поздравляю с днем рождения! Хочу сегодня пожелать прекрасной женщине космос любви, океан счастья, море улыбок и гору подарков. Чтобы каждый день наполнял тебя тем волшебным светом, которым ты озаряешь мир вокруг себя. Пускай самые необыкновенные и сокровенные желания сбудутся!"
1117,"Пускай жизнь будет яркой, как «скитлс», и такой же вкусной и сочной. Пускай всегда исполняются заветные мечты. Желаю успеха в делах и приличного достатка. Всегда держи в сердце любовь, позитив и чистые намерения. Никогда не унывай и не позволяй рукам опускаться, у тебя всегда есть надежное товарищеское плечо, готовое тебя поддержать. С днем рождения, дружище!"
1118,"Пусть вокруг летают шарики, пусть в вазе стоят цветы, пусть со всех сторон летят добрые словечки и дорогие презенты, пусть на твоём лице сияет лыба до ушей, пусть в этот день хоть Джинн, хоть Золотая Рыбка, хоть палочка волшебная обязательно исполнит твоё заветное желание. С днем рожденья. Желаю здоровьица, счастьица, удачки и любви!"
1119,"Я хочу пожелать тебе, встретиться с добрым волшебником, чтобы он подарил тебе универсальную волшебную палочку. Чтобы эта палочка, как заноза, не давала тебе сидеть на месте, а стимулировала стремление идти вперед к новым целям. Чтобы это палочка помогла справиться с любым недругом, даже если ее придется применять посредством физического контакта. Чтобы эта палочка стала крепкой опорой в случаях житейских бурь и ураганов. Пускай все в жизни сбывается и получается с легкостью, как по приказу волшебной палочки. С днем рождения!"
1120,"Поздравляю с днем рождения и пожелать хочу великолепному мужчине всегда быть бодрым и успешным, любить всем сердцем и покорять все новые вершины, дарить близким радость и тепло, верить в себя и свою удачу."
1121,"День рожденья — это вовсе не грустный праздник старости. Не стоит переживать, что может вдруг посыпаться песок, не стоит заморачиваться о седине и ворчать себе под нос. Я поздравляю тебя и желаю в этот день оторваться по полной, зажечь в своем сердце огонек счастья и веселья, составить верный план по захвату мира и не вздумать свернуть с пути услады жизни и любви."
1122,"С днём рожденья поздравляю женщину с доброй душой и невероятной красотой. Желаю, чтобы счастье в жизни сияло ярко, чтобы здоровье с каждым годом крепчало, чтобы в доме был достаток и покой, чтобы в сердце был любви прибой."
1123,"Поздравляю с днем рождения! Желаю неотразимой красоты, шарма и обаяния, тысяч восторженных взглядов и миллион искренних комплиментов, серенад под окном и цветов по поводу и без! А главное — пусть глаза светятся ярче солнца от любви и простого женского счастья!"
1124,"С днем рождения поздравляю обаятельного и замечательного мужчину! От всей души хочу пожелать всегда оставаться настоящим героем для своих родных и близких, быть успешным деятелем и невероятно счастливым человеком. Желаю стального здоровья, светлой любви и благосостояния."
1125,"От всего сердца поздравляю с днем рождения! Будь крепок, как скала, и смел, как настоящий воин. Пусть все твои жизненные соревнования заканчиваются только победой. Не оглядывайся назад, ведь всё самое лучшее ждет тебя впереди."
1126,"Поздравляю! Всегда, а не только в день рождения, желаю быть окруженным любящими людьми, радоваться каждой минуте. Желаю получать удовольствие от своей работы, общения с коллегами и разговоров с начальником. И конечно, желаю всегда спешить в дом, где тебя будет ждать счастье."
1127,"С днём рождения, крепкий и сильный мужчина. Желаю никогда не утратить силы духа, всегда оставаться на высоте успеха и славы, постоянно наполнять свою жизнь добрыми поступками и новыми достижениями, несмотря на погоду и мировые события, оставаться человеком с мягким сердцем и высоким энтузиазмом души."
1128,"С днём рождения, замечательная женщина. От чистого сердца желаю блистательных побед по жизни, невероятных ощущений счастья и нежных чувств любви. Пусть каждый день непременно приносит радость, пусть каждый миг даёт почувствовать себя свободной, неотразимой, окрылённой мечтами и вдохновлённой приятными комплиментами."
1129,"Жизнь — она как дорога. И сегодня ты преодолеваешь очередной ее виток. В ней много резких подъемов, спусков, много ям, ухабов, камней... И на каждом повороте — гаишники, так и норовящие оштрафовать за что-то. Но я-то знаю, что ты отличный водитель. Желаю тебе с успехом покорять возвышенности и быстро миновать спуски, любые неровности дороги преодолевать с легкостью и оптимизмом. А если так случится, что не впишешься в поворот, желаю быстро вернуться в нужное русло."
1130,"В этот день желаю тебе, чтобы в сердце всегда была весна, в глазах никогда не было грусти. Желаю везения во всех делах. Пусть от денег пухнет карман, каждый день будет наполнен оптимизмом и счастьем, а каждая ночь — любовью. Пусть здоровье с каждым годом только прибавляется. С днем рождения!"
1131,"Не скрывая симпатии и особого расположения, хочу от всей души поздравить тебя с днем рождения! Пройдя закалку жизнью, сегодня ты являешь собой образец доблести, мужества и надежности. Пусть будет достигнуто то, что ты планируешь открыто, пусть сбудется всё, о чём тайно мечтает твое сердце. И пускай залогом всех твоих успехов станут целеустремленность, жизненные силы и долголетие."
1132,"С днем рождения поздравляю! Благополучия, счастья, процветания и любви желаю! Быть милой, доброй, сдержанной и мудрой, красивой, верной, преданной и нужной, здоровой, веселой, скромной и простой, хорошей подругой, дочкой, мамой, женой. Светлой, успешной и грешной слегка. Кроме того желаю тепла, смеха, улыбок и ящик вина, чтобы сегодня выпить всем нам, за твой ум, характер и талант!"
1133,"Милую, нежную виновницу торжества, поздравляю с днем рождения! Желаю, чтобы каждое утро начиналось с нежного поцелуя любимого человека, ласкового лучика солнца на твоей подушке, ароматной чашечки кофе в постель. Пусть каждый твой день изобилует интересными встречами, удивительными открытиями и хорошим настроением. А вечер заканчивается уютным теплом в любимом доме с родными людьми. Прими мой искренний букет поздравлений и оставайся всегда такой же очаровательной и элегантной женщиной."
1134,"Поздравляю с днем рождения и желаю по алфавиту: Аристократического наряда, Бодрости духа, Восторга от жизни, Грандиозных событий, Динамичных отношений, Енотовой шубки, Жемчужного ожерелья, Золотого мужа, Идеальной свекрови, Карьерного роста, Любви горячей, Машины покруче, Наслаждений незабываемых, Объятий нежных, Побед в спорах, Равновесия в душе, Сыночка умного, Талантливую дочурку, Удачи в делах, Феерического праздника, Хлопот поменьше, Цветов побольше, Царственной осанки, Чудесного настроения, Шикарных подарков, Энергичных друзей, Ювелира личного и Яхту в море!"
1135,"Мой милый друг, хочу заметить, что хоть ты и стал старше на один год, ничуть не изменился. Гордая осанка, величавая походка, пытливый ум, а еще мужественность, неуемная энергия, жизнерадостность и шикарное очарование. Оставайся всегда душой компании, замечательным другом, заботливым сыном и отцом. Я желаю тебе только благ и искреннего счастья. Насыщенного тебе дня рождения!"
1136,"Желаю всего самого блистательного и неповторимого. И пусть то, что задумано, обязательно в твоей жизни исполнится!"
1137,"В этот праздник желаю оставаться настоящим, сильным и упорным мужчиной. Всегда принимать обдуманные, верные и приносящие успех решения, совершенствоваться и идти сквозь все преграды и испытания к поставленным целям, оставаясь сильным и мудрым."
1138,"От всего сердца желаю счастья, крепкого здоровья и самых ясных дней и ярких мгновений! Всегда надейся, верь и люби, сохраняй душевную теплоту. С днем рождения!"
1139,"С радостью и удовольствием приглашаю вас на свой день рождения дата и время _____________ по адресу _____________________. Не забудьте захватить чудесное настроение, капельку юмора и много свободно времени, чтобы сполна насладиться праздником!"
1140,"Сегодня я хочу поздравить с днем рождения мою вторую маму. Дорогая моя тетя! С праздником тебя! И желаю тебе семейного уюта, радости в глазах, веселого смеха, взаимной любви, и пусть все твои мечты исполняются. Пусть в твоем доме всегда будет тепло и уютно. Спасибо тебе за твою поддержку и любовь. С днем рождения!"
1141,"С днем рождения! Пожелания мои просты: оставайся счастливой и уверенной в себе, а твои цели пусть всегда будут достигнутыми. Также получай только самые лучшие пожелания и самые нежные похвалы не только в день рождения, но и в любой другой день."
1142,"Поздравляю с днем рождения! Желаю тебе мужской силы и уверенности во всех делах. Пусть тебе будет хватать амбиций для достижения целей. Пусть всё дается легко и приносит радость. А после достижения целей, ты не сдавался и искал новые вершины для покорения! Всего самого наилучшего!"
1143,"С днем рождения, родной. Желаю тебе уверенно шагать по этой земле навстречу своей цели, пусть тебе встречаются только хорошие люди, а успех и везение будут твоими верными спутниками. Пусть каждый новый день приносит тебе только приятные сюрпризы."
1144,"Поздравляю тебя, любимая мамочка, с днем рождения! Желаю тебе никогда не болеть и побольше улыбаться! И чтобы улыбка твоя никогда не сходила с лица, хочу пожелать от всей души тебе крепкого сибирского здоровья, наслаждаться моментами счастливой жизни и не забывать, что ты для меня всегда самая лучшая, и это важнее всего!"
1145,"Наша дорогая и любимая тётя, мы поздравляем тебя с днем рождения! Я желаю тебе счастья, здоровья, любить и быть любимой. Хочу, что бы на твоём жизненном пути были лишь вещи, которые заставляют тебя радоваться. Пусть твой кошелёк никогда не будет пустым, пусть тепло, которое тебе дают было нескончаемым. Желаю оставаться такой же всеми уважаемой, жизнерадостной и энергичной!"
1146,"Дорогая наша бабуля! Ты самый замечательный, добрый, любимый и светлый человечек. Спасибо за то, что ты нас учишь жить, делишься своим гигантским жизненным опытом и указываешь нам верную дорогу. Желаем, чтобы все то, через что ты прошла в своей долгой, порой нелегкой жизни, теперь приносило тебе только счастье, покой и светлые воспоминания. Желаем тебе и здоровья, чтобы ты никогда не болела, была улыбчивой и бодрой, и прожила еще целую кучу радостных лет. Любим тебя! С днем рождения."
1147,"Спасибо, что ты есть. Я не устану повторять каждый год и каждый день, что моя самая большая удача в жизни — это то, что я встретила тебя. Ты самый лучший, самый умный, самый смелый, я не представляю, как я жила без тебя. Желаю, чтобы каждый новый год приносил только счастье, чтобы на работе окружали единомышленники, а дома тебя всегда будет ждать любовь, забота и обожание."
1148,"В этот день, в твой день рождения, хочу пожелать тебе вагоны везенья, любви, успехов в работе, в карьере. Желаю, чтоб на пути твоей жизни, встречались только белые полосы. Пусть подруга «Удача» с утра обнимает, и на весь день позитив заряжает. Пусть сила духа и мужество всегда будут с тобою. И счастье накроет тебя с головой."
1149,"Хочу искренне поздравить и пожелать всего наилучшего своей горячо любимой тете! Желаю, чтобы все близкие всегда были рядом, чтобы все задуманное свершалось, а мечты воплощались в жизнь. Хочется верить, что будущее принесет только приятные и счастливые моменты и незабываемые эмоции!"
1150,С днем рожденья. Пусть при любой цифре в паспорте твоя душа поёт и радуется жизни. Желаю здоровья и любви!
1151,"С днем рождения. Желаю мира и гармонии вокруг, здоровья организма и вдохновения души, любви родных и счастья на протяжении всей жизни."
1152,"Пускай подарком в этот день будут: любовь родных, внимание близких и теплые пожелания важных людей. Света, мира и добра. С днем рождения!"
1153,"С днем рождения. Желаю удивлять и удивляться, любить и получать любовь взамен, творить и добиваться значимых высот, мечтать и просто быть счастливым человеком!"
1154,"С днём варенья. Желаю ни о чём не переживать, ни в чём не сомневаться, ничего не бояться и всегда оставаться счастливейшим человеком!"
1155,"С днем рождения тебя, родной! Благодарю судьбу за то, что ты есть у меня, и хочу пожелать неизменной удачи во всех делах. Пусть будет неисчерпаемой здоровье, стабильный доход и душевная гармония."
1156,"Поздравляю с днем рождения! Поздравляю с ещё одним годом в копилку опыта, с ещё одним поворотом жизненной дороги, с новыми перспективами! Желаю добиваться поставленных целей и радоваться успехам, оставаясь в ладу с самим собой. Будь таким же — оптимистом и философом, прекрасным другом, одним из лучших на работе и опорой в семье, — каким мы тебя знаем и любим."
1157,"Братишка, родной мой. Я поздравляю тебя с днем рождения! Вот ты и стал еще на год старше, а значит опытнее... Не хочу желать банального, а хочу пожелать: добиваться намеченных целей, найти свое призвание, иметь верных друзей и настоящую любовь. Успехов тебе, мой брат, и везенья. Будь счастлив и здоров!"
1158,"С днем рождения, дорогая тётя. Желаю яркого солнца, сияющей улыбки, цветущей красоты, неисчерпаемой доброты, тёплых объятий дорогих людей и счастливых надежд, каждая из которых обязательно будет оправдана! Тётушка, пусть каждый день твоей жизни проходит весело, интересно и радостно. Желаю, чтобы не было времени хандрить, но, чтобы всегда находилось время для удовольствия души."
1159,"Я желаю тебе, мой дорогой, чтобы наши желания совпадали. Чтобы шли мы, рука об руку, и никакие трудности нам были не страшны. Я хочу, чтобы во всех своих начинаниях ты чувствовал поддержку и любовь близких."
1160,"Желаю в одной руке чемодан счастья, за плечами рюкзак с успехом, в другой руке авоську с удачей и полные карманы благополучия. С днем рождения!"
1161,С днем рожденья. Желаю миллионы шансов для исполнения мечты и миллиард возможностей для достижения успеха. И будь всегда счастливым человеком!
1162,"Желаю, чтобы на сердце всегда было много солнца, в семье всегда была спокойная погода, а на работе благополучный микроклимат. С днем рождения!"
1163,"Желаю всегда иметь: во взгляде уверенность, в голове идеи, а в душе надежду, радость, веру и любовь. Пускай счастье никогда не оставляет тебя. С днем рождения!"
1164,"С днем рожденья, коллега. Желаю мыслить рационально, работать плодотворно, жить достойно и богато. И пусть каждый день позволяет тебе добивать в работе успеха, а в жизни — счастья и комфорта. Коллега, я желаю тебе крепкого здоровья, уверенных сил и любящих людей рядом."
1165,"Спасибо за тепло и заботу, желаю оставаться таким же чудесным дедушкой! Пусть твоя доброта и юмор согревают нас долгие годы. Желаю самого крепкого в мире здоровья, бесконечной энергии, легкого отношения к жизни и оптимизма. Пусть любые неприятности развеются как сон, а будущее будет светлым и радостным. С днем рождения!"
1166,"Спешу поздравить вас с днем рождения и пожелать всего самого доброго, всего, что принесет вам огромное счастье! Пускай ваше сердце наполняет любовь, а в кошельке всегда будут только крупные купюры! Желаю вам стального здоровья и успехов в любом начинании и деле! Пускай ваша жизнь будет удивительно прекрасной, а каждый миг озаряется лучами позитива!"
1167,"Сегодня мы хотим поздравить нашего коллегу! Благодаря твоему прекрасному, оптимистичному характеру в нашей компании всегда царит атмосфера тепла и радости! В этот прекрасный день хочется пожелать тебе пронести свой внутренний свет через всю жизнь, ярко гореть, согревая окружающих своим теплом, любви искренней, друзей верных, впечатлений ярких и новых и крепчайшего здоровья! С днем рождения!"
1168,"С днем рожденья, самый родной мой человек. Мама, спасибо тебе за мою жизнь, спасибо бабушке за тебя. Я желаю тебе, дорогая, быть здоровой, весёлой, счастливой. И пусть ничто тебя не огорчает, пусть никогда не будет тебе больно и обидно. Я желаю тебе, мамочка, отличного настроения, великолепного самочувствия, совершенной красоты и шикарной жизни."
1169,"Моя любимая и дорогая жена, я желаю тебе всего, о чем мечтает твоя душа! Я готов всегда дарить тебе свою любовь и нежность, чтобы твои глазки вечно сияли от счастья! Пускай твое настроение будет солнечным, а улыбка яркой и лучезарной! Будь такой же прекрасной женой, замечательной матерью и успешной женщиной! Пускай в нашей семье вечно царят гармония и лад, ведь мы созданы друг для друга!"
1170,"Сегодня прекрасный день, такой же солнечный и теплый, как ты, мама! Сегодня день твоего рождения. В этот день хочется желать тебе всего без передышки. Я хочу, чтобы ты всегда оставалась такой же красивой, заботливой, доброй. Такие люди, как ты, украшают этот мир. Будь самой счастливой, самой улыбчивой, самой здоровой, самой прекрасной. С днем рождения!"
1171,"Чудес, радости и счастья, бодрых сил, достатка и любви! С днем рожденья. Пусть все в твоей жизни будет прекрасно!"
1172,С днем рождения! Желаю тебе иметь цель в жизни и не сдаваться на пути к ее достижению. Пускай во всех начинаниях сопутствует удача и везение. Будь счастлив и успешен!
1173,"Поздравляем замечательного человека, отлично влившегося в наш дружный коллектив и на деле показавшего верх профессионализма и трудолюбия. Желаем успешной деятельности и счастливой личной жизни. Желаем никогда не терять самообладания, оптимизма и хорошего настроения. Пускай каждый новый день приносит желаемый достаток и удовлетворенность от работы. С днем рождения!"
1174,"От всего сердца поздравляю с твоим днем рождения! Пусть он будет незабываемым и ярким, а тебе пусть в жизни везет и пусть тебя всегда окружают такие же прекрасные люди, как ты!"
1175,"С днем рождения! Хочется пожелать Вам успехов, чтобы все в жизни получалось, всего Вы могли достичь и добиться. Пусть здоровье не подводит, а финансовая сторона крепнет и растет. Вы заслуживаете только счастья и улыбок!"
1176,"Дорогой дружище, с днем рождения тебя! Каждый год приходит очередной повод пожелать тебе, в тысячный раз, огромного везения, чтобы то, что не удалось осуществить в прошлом, обязательно случилось в скором времени. Желаю тебе, в обязательном порядке, чуточку нового и изумительного встретить в жизни, а также любви — для наслаждения, богатства — для расслабления и счастья — для спокойствия. И крепкого тебе здоровья, а то мало ли, простуда какая привяжется."
1177,"С днем рождения, коллега! Хочу пожелать тебе то, чего не хватает, у каждого оно своё. Так вот, пусть твои потребности будут заполнены, твои карманы никогда не будут пустовать, твоё сердце всегда изливается любовью, а глаза — радостью. Желаю тебе продуктивных рабочих дней, заряженных положительной энергией, отличных выходных в кругу семьи и пусть эти выходные будут выпадать как можно чаще."
1178,"С днем рожденья, мой дорогой человек, моя опора, моя любовь, моё вдохновение. Верный и заботливый муж — мечта каждой женщины и у меня эта мечта осуществилась. Сегодня я хочу пожелать тебе, родной, бравого здоровья и абсолютной уверенности в том, что ты делаешь, в том, что это непременно приведёт тебя к успеху. Будь счастлив, уважаем и любим, целеустремлён, воодушевлён и невероятно талантлив в любом деле."
1179,"Любимая моя, поздравляю с днем рождения! Годы идут, а с ними и ты рядом со мной под руку как верная спутница и родная душа. Желаю тебе быть такой лучезарной и вдохновлять меня на новые приятные поступки, а я в свою очередь постараюсь приложить максимум усилий, чтобы ты с каждым годом расцветала все краше и никогда не вспоминала о цифре в паспорте. Я тебя люблю с каждым днем все больше, будь пожалуйста всегда рядом!"
1180,С днем рождения! Пускай тебе сопутствует везение. Желаю исполнения всех заветных желаний. Будь счастливым человеком!
1181,"Поздравляю с днем рождения! Желаю удачи по жизни, пусть каждый день дарит достаточно шансов улучшить себя. Стройте жизнь на положительной основе, любви, гармонии и созидания Вашей душе и сердцу! Перспективы во всем и здоровья!"
1182,"Искренне поздравляем вас с рождением ребенка, и желаем ему счастливой жизни. Пусть растёт малыш здоровым и красивым, радует родителей, веселит бабушек и дедушек. Желаем радости, добра, отзывчивых друзей и много позитива вашему малышу!"
1183,"Поздравляю с днем рождения и от чистого сердца желаю видеть только прекрасное, слышать только приятное, чувствовать только радость, ощущать только счастье и любовь."
1184,"Поздравляем с рождением ребеночка! Пусть это чудо навсегда принесет счастье в Ваш дом, чтобы в нем звучал смех и веселые песни. Желаем чтобы ребеночек рос здоровым, крепким и спокойным."
1185,"С днем рожденья, подружка моя золотая. Желаю тебе жизни настоящей королевы, улыбок, радости, счастья и любви. Пусть будет всё так, как ты пожелаешь, пусть успех тебе сопутствует во всём, пусть твоё сердце не устаёт мечтать, а душа и тело пусть наслаждаются прекрасной жизнью!"
1186,"Поздравляю, поздравляю с этим прекрасным и замечательным событием! Пусть новорожденное чудо растет здоровым, пусть на пути крохи всегда горят огоньки удачи и светят лучики счастья. Желаю семье блага и взаимопонимания, радостного детства ребенку и мира вашему дому."
1187,"Поздравляю с днем рождения и хочу пожелать бабочек в твоем животе, наполеоновских планов в твоей голове, верной удачи в твоих руках, правды в твоих ногах и шила в твоей попе, которое обеспечит успех работы и веселые приключения жизни."
1188,"Поздравляю с днем рождения, а пожелать хочу, чтобы жизнь пестрила удачными моментами и счастливыми мгновениями, чтобы в минуты кислой, как лимон, жизни рядом всегда был коньячок, чтобы в карманах было столько бабосов, а в голове столько идей, чтобы любая проблема решалась одним махом."
1189,"С днем рождения, дорогой начальник! Пусть в работе все будет по Вашему велению, а в жизни — по Вашему хотению. Желаю Вам достатка, крепких сил, удачи и благополучия, хороших взаимоотношений с близкими, коллегами, компаньонами, друзьями и соседями, успешных идей, дней и побед!"
1190,"С днем рождения! Желаю огромнейшего счастья, крепкого здоровья, вселенского терпения, надежных и верных друзей."
1191,"Поздравляю с днем рождения! Желаю искрящихся радостью событий, лучистых глаз, искренних эмоций, улыбок и исполнения всего желаемого! Счастья, добра и благополучия!"
1192,"Поздравляю с днем рождения мужественного, красивого и сильного человека! Желаю с годами набираться мудрости и молодеть, но не стареть! Самого крепкого здоровья, спортивных успехов, удачной рыбалки, замечательного отдыха и успешных трудовых будней! Любви взаимной, верной и преданной! Сердечного тепла от окружающих, высоких оценок от начальства и огромнейшей зарплаты с премиями! Женских восхищенных взглядов и бесконечного оптимизма!"
